姓名 性别 年龄 身高 体重 省份 党派 消费 有无男/女朋友 是否打游戏
葛新发 男 18 1.8874160171161447 175.03608272007716 福建 中共党员 867 有 玩
朱林耀 男 19 1.6206594412220086 152.29087002899945 黑龙江 群众 1858 没有 不玩
何国权 男 19 1.6175954945748086 134.06000154639077 新疆 共青团员 382 没有 不玩
王兰方 女 22 1.6791878146842152 91.4732630252763 重庆 其他党派 1537 有 玩
刘世腾 男 22 1.6325470065503018 157.4355374227926 河南 中共党员 1972 没有 不玩
马高山 男 20 1.5355703589714924 187.3265892888693 福建 中共党员 732 有 玩
丁咏 女 19 1.601760574521333 94.01584558597011 澳门 中共党员 1874 有 玩
齐玉刚 男 21 1.902743451949857 144.02988757819003 河北 共青团员 566 没有 不玩
金玲燕 女 19 1.904075031192422 193.06192757466226 甘肃 其他党派 1438 有 玩
李满荣 女 18 1.9052331550415258 125.69956334112298 海南 中共党员 309 没有 不玩
邱雅 女 21 1.9491245566864295 88.52679305207458 山东 共青团员 1290 没有 不玩
张忠友 男 20 1.703850227689136 199.83345529874543 山东 中共党员 126 有 玩
谭美丹 女 21 1.9388255902436708 171.83387413204287 江西 共青团员 1513 没有 不玩
牛玉茹 女 18 1.5943702719531725 121.71074443157976 香港 群众 372 有 玩
周康渝 男 18 1.6034217968415916 139.87003548962952 浙江 共青团员 1404 有 玩
蔡瑜莹 女 19 1.5534217890083153 157.13372316388535 上海 群众 1366 有 玩
丁若 女 22 1.9058980608183205 194.53132881962196 黑龙江 群众 431 没有 不玩
宋振凯 男 20 1.5956440173588764 142.90760166530075 广西 群众 898 没有 不玩
张忆平 女 21 1.7556444563224303 155.71306674293558 甘肃 共青团员 1788 有 玩
周成海 男 22 1.8310006586508472 87.48741113153493 四川 其他党派 1700 没有 不玩
方理刚 男 22 1.8972755902185734 109.9379170215633 江苏 群众 1608 没有 不玩
包金兰 女 18 1.7193409061365812 155.49379904159292 云南 中共党员 1460 有 玩
苗忆 女 21 1.9727000550331213 108.04886385477269 福建 共青团员 487 没有 不玩
史新雨 男 19 1.527217581661425 141.10775625940414 江西 中共党员 1060 有 玩
彭光平 男 18 1.9739417090774647 85.33922411981507 四川 群众 1354 有 玩
钱熠 男 21 1.6499899228479986 173.1367173765899 宁夏 其他党派 1460 有 玩
卢亦鲁 男 19 1.8013947507130081 122.25234319278437 安徽 中共党员 1028 有 玩
秦国民 男 19 1.5760378037601757 120.0163733925064 青海 其他党派 440 有 玩
陈亚笋 男 19 1.8532947319171986 196.0414375025111 辽宁 共青团员 605 有 玩
